Core-index,Vocab-KO-Index,Sent-KO-Index,New-Opt-Voc-Index,Opt-Voc-Index,Opt-Sen-Index,jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning,Vocab-sound-local,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning,Sentence-sound-local,Sentence-image-local,Vocab-furigana,Sentence-furigana,Sentence-Cloze
289,0,43,285,295,11,JLPT3,こっち,こっち,here,[sound:5e18c5c21f324251d3d6fecd9bfa5e75.mp3],Pronoun,<b>こっち</b>に来て下さい。,<b>こっち</b> に きて ください,Please come here.,[sound:a94e77ccc8fd2786ea3ac100adf8ab59.mp3],"<img src=""1704aa6546a76a7fe122d30388da1429.jpg"" />",こっち,<b>こっち</b>に 来[き]て 下[くだ]さい。,<b>（　）</b>に 来[き]て 下[くだ]さい。
185,43,48,86,85,12,JLPT4,右,みぎ,right,[sound:f0f90b90e0146f9e10ef2781fa6ce698.mp3],Noun,<b>右</b>のポケットにハンカチが入っています。,<b>みぎ</b> の ぽけっと に はんかち が はいって います,There's a handkerchief in my right pocket.,[sound:a5dccbd77b0b424204e96f53d6c58c97.mp3],"<img src=""e81a5b8d1fea7a6930beed892c5636b5.jpg"" />",右[みぎ],<b> 右[みぎ]</b>のポケットにハンカチが 入[はい]っています。,<b>（　）</b>のポケットにハンカチが 入[はい]っています。
54,0,52,87,95,13,JLPT3,あげる,あげる,give,[sound:da9a172883e519f31a286925e6fb7052.mp3],Verb,この本、あなたに<b>あげます</b>。,この ほん あなた に <b>あげます</b>,I'll give you this book.,[sound:dd9138ba1b786d6ff0dd140e19324918.mp3],"<img src=""41bbffea7074a1688c13309c257678b7.jpg"" />",あげる,この 本[ほん]、あなたに<b>あげます</b>。,この 本[ほん]、あなたに<b>（　）</b>。
105,0,52,135,143,14,JLPT4,ここ,ここ,here,[sound:e445a8f0202ac296f4ac247cc79cff14.mp3],Pronoun,<b>ここ</b>に本があります。,<b>ここ</b> に ほん が あります,There's a book here.,[sound:edc80c601a7ab0131cc4d0ddda420a5c.mp3],"<img src=""3124ede0033d1be8436026552a83b6b3.jpg"" />",ここ,<b>ここ</b>に 本[ほん]があります。,<b>（　）</b>に 本[ほん]があります。
124,0,52,151,159,15,JLPT4,とても,とても,very,[sound:001811b50ecb6a9545818df3f859ae8a.mp3],Adverb,この本は<b>とても</b>おもしろい。,この ほん は <b>とても</b> おもしろい,This book is very interesting.,[sound:8033321085dee8b196bf5e4d35d704d0.mp3],"<img src=""416e66bf9d0bdf90d1e919d9ae877b91.jpg"" />",とても,この 本[ほん]は<b>とても</b>おもしろい。,この 本[ほん]は<b>（　）</b>おもしろい。
322,7,52,17,16,16,JLPT2,七,なな,seven,[sound:0c8f7397608f60ff2184171ee3555306.mp3],Noun,バナナが<b>七</b>本あります。,ばなな が <b>なな</b>ほん あります,There are seven bananas.,[sound:2ab78fe7cb59f1c27bd95720dc5ff830.mp3],"<img src=""b8314fad9fe0f6bd9d51745f14036f7a.jpg"" />",七[なな],バナナが<b> 七[なな]</b> 本[ほん]あります。,バナナが<b>（　）</b> 本[ほん]あります。
363,59,60,107,106,17,JLPT4,手,て,hand,[sound:e48d48db5c0f14fccdba0501dddc667a.mp3],Noun,分かった人は<b>手</b>を上げてください。,わかった ひと は <b>て</b> を あげて ください,Please raise your hand if you understand.,[sound:3e0592cb331992dfc89bfb52f7d346ba.mp3],"<img src=""d40ef718bb090734a078ac6f6db25a71.jpg"" />",手[て],分[わ]かった 人[ひと]は<b> 手[て]</b>を 上[あ]げてください。,分[わ]かった 人[ひと]は<b>（　）</b>を 上[あ]げてください。
249,0,64,237,247,18,JLPT4,おなか,おなか,stomach,[sound:f8a6f1394ee3d6959c7687e4d6d4e4f6.mp3],Noun,<b>おなか</b>が空きました。,<b>おなか</b> が すきました,I'm hungry.,[sound:9cce208b8c1ab9ee8a6a24b775518c1c.mp3],"<img src=""b4060a92931abb3d967ec64069152938.jpg"" />",おなか,<b>おなか</b>が 空[す]きました。,<b>（　）</b>が 空[す]きました。
263,63,64,109,108,19,JLPT2,空く,すく,be empty,[sound:d3f3e2235f31aa2ed2488a70cfcdb589.mp3],Verb,レストランは<b>空いていました</b>。,れすとらん は <b>すいて いました</b>,The restaurant was empty.,[sound:ab8bb024f256929ba28af77e6813f722.mp3],"<img src=""1aa67caba518edde9b9eab3e5f69e185.jpg"" />",空[す]く,レストランは<b> 空[す]いていました</b>。,レストランは<b>（　）</b>。
359,19,64,42,41,20,JLPT4,一日,ついたち,1st of the month,[sound:531a62bfe0833e69b843e9486054c5fd.mp3],Noun,来月の<b>一日</b>は空いていますか。,らいげつ の <b>ついたち</b> は あいています か,Are you free on the 1st of next month?,[sound:5cca819d1be8931a5c0793d2f6b7d70d.mp3],"<img src=""feb168822384efc35b1c2caa16734dec.jpg"" />",一日[ついたち],来月[らいげつ]の<b> 一日[ついたち]</b>は 空[あ]いていますか。,来月[らいげつ]の<b>（　）</b>は 空[あ]いていますか。
212,26,65,50,49,21,JLPT4,日曜日,にちようび,Sunday,[sound:235f922e00b196de50d9480c2ec54eea.mp3],Noun,<b>日曜日</b>は海に行きました。,<b>にちようび</b> は うみ に いきました,We went to the seaside on Sunday.,[sound:ef8a4b84e0f70f4caf387d494b2f4b47.mp3],"<img src=""2c086e2972abef0ed1d14c1644184d8c.jpg"" />",日曜日[にちようび],<b> 日曜日[にちようび]</b>は 海[うみ]に 行[い]きました。,<b>（　）</b>は 海[うみ]に 行[い]きました。
367,7,74,18,17,22,JLPT4,七つ,ななつ,seven (things),[sound:7a5f2d9e6b436753e55857e09b60c3f1.mp3],Noun,この子は今年<b>七つ</b>になります。,この こ は ことし <b>ななつ</b> に なります,Our kid's turning seven this year.,[sound:731639dd0d26815936b418a88823422c.mp3],"<img src=""967b0d96ccbf85a488e8af5f89f4a5b7.jpg"" />",七[なな]つ,この 子[こ]は 今年[ことし]<b> 七[なな]つ</b>になります。,この 子[こ]は 今年[ことし]<b>（　）</b>になります。
160,0,76,190,199,23,JLPT4,どれ,どれ,"what, which",[sound:722241bb0f4ce21cbb388e276ae0a6f4.mp3],Noun,この中で<b>どれ</b>が好きですか。,この なか で <b>どれ</b> が すき です か,Which of these do you like?,[sound:b3b2c52dd411c176af418032442fbb98.mp3],"<img src=""4b03adc5c663110090362c9c6b00674d.jpg"" />",どれ,この 中[なか]で<b>どれ</b>が 好[す]きですか。,この 中[なか]で<b>（　）</b>が 好[す]きですか。
8,76,77,116,115,24,JLPT2,私,わたし,I,[sound:18e088c100ac5a67c9f387a082caf28f.mp3],Noun,<b>私</b>が行きましょう。,<b>わたし</b> が いきましょう,Why don't I go.,[sound:09d0613edfe3f2acf12f2de512855a3e.mp3],"<img src=""58ab6b30caa9fd22dc9673d0863aef46.jpg"" />",私[わたし],<b> 私[わたし]</b>が 行[い]きましょう。,<b>（　）</b>が 行[い]きましょう。
158,75,77,114,113,25,JLPT4,好き,すき,"favorite, liked",[sound:d7fc47445da76bf992a10e581da01ba9.mp3],Adjectival Noun,私はワインが<b>好き</b>です。,わたし は わいん が <b>すき</b> です,I like wine.,[sound:fe1250584407c2a9b5499098ec358022.mp3],"<img src=""cebcba12ca6047b5df67ab6707cf9cc7.jpg"" />",好[す]き,私[わたし]はワインが<b> 好[す]き</b>です。,私[わたし]はワインが<b>（　）</b>です。
233,0,77,222,231,26,JLPT2,ゲーム,ゲーム,game,[sound:0276e94fe38e28c9c6b98cd70c35c512.mp3],Noun,私たちはビデオ<b>ゲーム</b>をした。,わたしたち は びでお<b>げーむ</b> を した,We played a video game.,[sound:8e39b7e99bbdafcdf6a0a50ecbf2f2d5.mp3],"<img src=""d7a889fdea7205b7b419ad7d07a8b37a.jpg"" />",ゲーム,私[わたし]たちはビデオ<b>ゲーム</b>をした。,私[わたし]たちはビデオ<b>（　）</b>をした。
372,46,77,92,91,27,JLPT4,一人,ひとり,"one, one person",[sound:2cf6bccedfeb9ba33cb6138d156a9553.mp3],Noun,そこには私<b>一人</b>しかいなかった。,そこ に は わたし <b>ひとり</b> しか いなかった,I was the only one there.,[sound:23aa9fd233cc106d8d80f67caa8fea78.mp3],"<img src=""115f3a308f1377774b5e42049c594f49.jpg"" />",一人[ひとり],そこには 私[わたし]<b> 一人[ひとり]</b>しかいなかった。,そこには 私[わたし]<b>（　）</b>しかいなかった。
151,78,79,117,116,28,JLPT4,友達,ともだち,"friend, companion",[sound:f8b72b2dec134c8525c25824bf9e2ce4.mp3],Noun,私には<b>友達</b>がたくさんいます。,わたし に は <b>ともだち</b> が たくさん います,I have a lot of friends.,[sound:02bfd05a3da330d3e74635b8d48566f6.mp3],"<img src=""4e5ddcfbe818d61665dbf36266cd8612.jpg"" />",友達[ともだち],私[わたし]には<b> 友達[ともだち]</b>がたくさんいます。,私[わたし]には<b>（　）</b>がたくさんいます。
76,35,80,74,73,29,JLPT4,帰る,かえる,"return, go back",[sound:e484ea757416ce081cddaecf59f22f5c.mp3],Verb,家に<b>帰ろう</b>。,うち に <b>かえろう</b>,Let's go home.,[sound:5836ca64c9d6c53bbbd7c8e5fbd1c2ce.mp3],"<img src=""17b2ac64537e8ef2f9e1bab9c73680b6.jpg"" />",帰[かえ]る,家[うち]に<b> 帰[かえ]ろう</b>。,家[うち]に<b>（　）</b>。
191,83,84,121,120,30,JLPT4,元気,げんき,"healthy, energetic",[sound:70ce2d6aa1ce89e725717a1514023cf4.mp3],Adjective,おかげさまで<b>元気</b>です。,おかげさま で <b>げんき</b> です,"I'm fine, thank you.",[sound:0e50db26d57446ac7281c2347dd0623c.mp3],"<img src=""73b3533b3f63b385ad5e459af7210d67.jpg"" />",元気[げんき],おかげさまで<b> 元気[げんき]</b>です。,おかげさまで<b>（　）</b>です。
235,83,84,122,121,31,JLPT4,天気,てんき,weather,[sound:52ee0f2f4c97bd2a7230a4d47aada8e6.mp3],Noun,今日はいい<b>天気</b>ですね。,きょう は いい <b>てんき</b> です ね,It's nice out today.,[sound:8319c5d33a5855a70776baea91a3326c.mp3],"<img src=""4e7b86a77dd30dd05797dd54baaf198c.jpg"" />",天気[てんき],今日[きょう]はいい<b> 天気[てんき]</b>ですね。,今日[きょう]はいい<b>（　）</b>ですね。
29,39,85,77,76,32,JLPT2,少ない,すくない,"few, little",[sound:536e623dbdc3db5190ea8f88533637fb.mp3],Adjective,今年は雨が<b>少ない</b>です。,ことし は あめ が <b>すくない</b> です 。,There's not much rain this year.,[sound:7e3248c6e2695d16e013ad3f8a13e5f3.mp3],"<img src=""49d88d48069e9ca694a5486f64b8a7f4.jpg"" />",少[すく]ない,今年[ことし]は 雨[あめ]が<b> 少[すく]ない</b>です。,今年[ことし]は 雨[あめ]が<b>（　）</b>です。
259,87,89,123,122,33,JLPT4,晴れる,はれる,"be sunny, clear up",[sound:428d5f3e5f18b92b4654d8a258775362.mp3],Verb,明日は<b>晴れる</b>といいですね。,あした は <b>はれる</b> と いい です ね,I hope it'll be sunny tomorrow.,[sound:70e6e68a31d93c83156c0cb609cbfb9f.mp3],"<img src=""f60a6ec22e14f5aad7cb6c8a83fb96d4.jpg"" />",晴[は]れる,明日[あした]は<b> 晴[は]れる</b>といいですね。,明日[あした]は<b>（　）</b>といいですね。
332,41,96,84,83,34,JLPT4,上,うえ,"up, above",[sound:1d280ce35addf9331ef1e782596838c3.mp3],Noun,<b>上</b>を向いて。,<b>うえ</b> を むいて,Look up.,[sound:1b2e2b02de3181d01f18d01197c426e9.mp3],"<img src=""a872bb607628745abc1aeccc0099ebf4.jpg"" />",上[うえ],<b> 上[うえ]</b>を 向[む]いて。,<b>（　）</b>を 向[む]いて。
200,0,98,198,207,35,JLPT4,ドア,ドア,door,[sound:e9f4936c0bd6708b48587d400b0e5d0d.mp3],Noun,<b>ドア</b>を開けてください。,<b>どあ</b> を あけて ください,Please open the door.,[sound:db998f6c30a97401c09c48f84460d1db.mp3],"<img src=""3bde69dec678e4b0b88a7b82fa788a55.jpg"" />",ドア,<b>ドア</b>を 開[あ]けてください。,<b>（　）</b>を 開[あ]けてください。
273,97,98,126,125,36,JLPT3,開く,ひらく,open,[sound:1d975f13c1410eacae2e587bb101fd15.mp3],Verb,32ページを<b>開いて</b>ください。,さんじゅうにぺーじ を <b>ひらいて</b> ください,Please open to page 32.,[sound:6e193813475da68736379dffeb2ac09f.mp3],"<img src=""e4908fc9007d30166376b12259b33f01.jpg"" />",開[ひら]く,32[さんじゅうに]ページを<b> 開[ひら]いて</b>ください。,32[さんじゅうに]ページを<b>（　）</b>ください。
346,57,98,104,102,37,JLPT4,口,くち,mouth,[sound:c36f5d17b92e7cf3515d6467bbddbbc4.mp3],Noun,<b>口</b>を大きく開けてください。,<b>くち</b> を おおきく あけて ください,"Open wide, please.",[sound:759adc4147b5ca416a202ee74b7876b9.mp3],"<img src=""41662ab078e87a93fb79df03060b1f27.jpg"" />",口[くち],<b> 口[くち]</b>を 大[おお]きく 開[あ]けてください。,<b>（　）</b>を 大[おお]きく 開[あ]けてください。
251,98,99,129,128,38,JLPT4,閉める,しめる,"shut, close",[sound:be4a4ad6e54ca4755aefd6a38ef97909.mp3],Verb,ちゃんとドアを<b>閉めて</b>よ。,ちゃんと どあ を <b>しめて</b>よ,Close the door properly.,[sound:2c513cd87fd97e8b80989aae371c12e7.mp3],"<img src=""a04b70e28f4762532bea85855a7cc670.jpg"" />",閉[し]める,ちゃんとドアを<b> 閉[し]めて</b>よ。,ちゃんとドアを<b>（　）</b>よ。
18,100,101,132,131,39,JLPT4,時間,じかん,"time, hour",[sound:41e9126a0d1852dd6072f7a1b8d05558.mp3],Noun,今は<b>時間</b>がありません。,いま は <b>じかん</b> が ありません,I don't have time now.,[sound:fe6b580a409f268f0e4f9765cdd794ca.mp3],"<img src=""2b312f424b7e506c3f41af7bb1063da2.jpg"" />",時間[じかん],今[いま]は<b> 時間[じかん]</b>がありません。,今[いま]は<b>（　）</b>がありません。
298,19,107,34,33,40,JLPT4,六日,むいか,"six days, 6th of the month",[sound:a262afab21d12136e62dbfad28b6276f.mp3],Noun,<b>六日</b>前に日本に帰ってきました。,<b>むいか</b>まえ に にほん に かえって きました,I came back to Japan six days ago.,[sound:de16b621d3fd313205eb37e8023eb358.mp3],"<img src=""3ac6a6ec9e493005b975c74a81f5d656.jpg"" />",六日[むいか],<b> 六日[むいか]</b> 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。,<b>（　）</b> 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。
209,107,108,139,138,41,JLPT0,後ろ,うしろ,"back, behind",[sound:f11415ef824a3e1708c868e550501ee3.mp3],Noun,<b>後ろ</b>を向いて。,<b>うしろ</b> を むいて,Turn around.,[sound:c2fa3c3e6404700a3f609963418e030e.mp3],"<img src=""3853ba3783a8b204923dd039125a3275.jpg"" />",後[うし]ろ,<b> 後[うし]ろ</b>を 向[む]いて。,<b>（　）</b>を 向[む]いて。
364,19,108,43,42,42,JLPT4,十日,とおか,"ten days, 10th of the month",[sound:ddc8ef84405d82abedf15db40bab42ad.mp3],Noun,<b>十日</b>後に帰ります。,<b>とおか</b>ご に かえります,I'll come home in ten days.,[sound:712c00e97292033484020cb8dae30b23.mp3],"<img src=""6f696308c1eb978c008db74edf549876.jpg"" />",十日[とおか],<b> 十日[とおか]</b> 後[ご]に 帰[かえ]ります。,<b>（　）</b> 後[ご]に 帰[かえ]ります。
60,108,109,141,140,43,JLPT4,午前,ごぜん,"morning, a.m.",[sound:83679c692082e984c6de37923471923d.mp3],Noun,<b>午前</b>9時のニュースです。,<b>ごぜん</b> くじ の にゅーす です,And now for the 9.00 a.m. news.,[sound:d73c2a291182679c330d8418dd20217e.mp3],"<img src=""56f385bf19ba9b961577273c7b488149.jpg"" />",午前[ごぜん],<b> 午前[ごぜん]</b> 9時[くじ]のニュースです。,<b>（　）</b> 9時[くじ]のニュースです。
295,113,114,146,145,44,JLPT4,今晩,こんばん,"this evening, tonight",[sound:0f3db67f6839f9c645271215e005558d.mp3],Noun,<b>今晩</b>のパーティーは何時からですか。,<b>こんばん</b> の ぱーてぃー は なんじ から です か,From what time is the party tonight?,[sound:ff8a883995759c3ded378f524f992290.mp3],"<img src=""0e7c646f3f6e56b0a8c0efaadba630f2.jpg"" />",今晩[こんばん],<b> 今晩[こんばん]</b>のパーティーは 何時[なんじ]からですか。,<b>（　）</b>のパーティーは 何時[なんじ]からですか。
239,26,115,51,50,45,JLPT4,土曜日,どようび,Saturday,[sound:75081f50746d664ed10f82c7d97558a6.mp3],Noun,<b>土曜日</b>の夜はクラブに行きます。,<b>どようび</b> の よる は くらぶ に いきます,I'm going to a club Saturday night.,[sound:09482cbbb46de7489c0d97f185cec900.mp3],"<img src=""c45b25ed53806b30a7d52c2ad2b3a773.jpg"" />",土曜日[どようび],<b> 土曜日[どようび]</b>の 夜[よる]はクラブに 行[い]きます。,<b>（　）</b>の 夜[よる]はクラブに 行[い]きます。
253,26,115,52,51,46,JLPT4,金曜日,きんようび,Friday,[sound:4b4273e1b921c1d07ab030db9b2b1415.mp3],Noun,<b>金曜日</b>の夜は友達と出かけます。,<b>きんようび</b> の よる は ともだち と でかけます,I go out with my friends on Friday nights.,[sound:105a6ee6542704559a7d1fdb57fae6b3.mp3],"<img src=""5cd21603d4363e133229102db2d8dad4.jpg"" />",金曜日[きんようび],<b> 金曜日[きんようび]</b>の 夜[よる]は 友達[ともだち]と 出[で]かけます。,<b>（　）</b>の 夜[よる]は 友達[ともだち]と 出[で]かけます。
360,20,115,46,45,47,JLPT2,月,つき,moon,[sound:15fc058861093fa912d14d3d54348449.mp3],Noun,今夜は<b>月</b>がとてもきれいです。,こんや は <b>つき</b> が とても きれい です,The moon looks so beautiful tonight.,[sound:ce382b52df1295a77a1795cb35acd36a.mp3],"<img src=""8334a77ad86c23abfff06c32f79d624e.jpg"" />",月[つき],今夜[こんや]は<b> 月[つき]</b>がとてもきれいです。,今夜[こんや]は<b>（　）</b>がとてもきれいです。
386,114,115,147,146,48,JLPT4,夜,よる,night (from sunset to sunrise),[sound:4437c6be518f2591700ca5ba4ac3da87.mp3],Noun,きのうの<b>夜</b>は家にいました。,きのう の <b>よる</b> は いえ に いました,I was at home last night.,[sound:3902ad980f28839ef26d4b8f0f74a8ff.mp3],"<img src=""d79b1eed427e258509f1e9991cc4deef.jpg"" />",夜[よる],きのうの<b> 夜[よる]</b>は 家[いえ]にいました。,きのうの<b>（　）</b>は 家[いえ]にいました。
109,116,117,148,147,49,JLPT4,食べる,たべる,eat,[sound:952b201f38a772ec7b108fd13a93402c.mp3],Verb,昨日タイカレーを<b>食べました</b>。,きのう たいかれー を <b>たべました</b>,I had Thai curry yesterday.,[sound:cfae6bf9f7d960c2e9055c8fe8cf6e6a.mp3],"<img src=""092d463d5ce184a0a4de6734c268ed99.jpg"" />",食[た]べる,昨日[きのう]タイカレーを<b> 食[た]べました</b>。,昨日[きのう]タイカレーを<b>（　）</b>。
368,30,117,62,61,50,JLPT4,何,なに,"what, which",[sound:7c8728fb710c430ad6fbb1983a18ddcc.mp3],Noun,夕食には<b>何</b>を食べたいですか。,ゆうしょく に は <b>なに</b> を たべたい です か,What would you like for supper?,[sound:aba3d6e76c8b694c97d61a9af15db815.mp3],"<img src=""fbb22a7feee0a5e36ebb8e5616708531.jpg"" />",何[なに],夕食[ゆうしょく]には<b> 何[なに]</b>を 食[た]べたいですか。,夕食[ゆうしょく]には<b>（　）</b>を 食[た]べたいですか。
238,113,119,145,144,51,JLPT4,晩,ばん,evening (usually from sunset to bedtime),[sound:569bf70884ecb47f3b9d9c014ad9b239.mp3],Noun,<b>晩</b>ご飯は食べましたか。,<b>ばん</b>ごはん は たべました か,Have you had dinner?,[sound:7f7e1e9318fbaef765e8c39380d3a65f.mp3],"<img src=""0f19b0e55608d913b8f4df738f5ed96d.jpg"" />",晩[ばん],<b> 晩[ばん]</b>ご 飯[はん]は 食[た]べましたか。,<b>（　）</b>ご 飯[はん]は 食[た]べましたか。
265,118,119,150,149,52,JLPT0,ご飯,ごはん,"cooked rice, meal",[sound:8983df855c5999341a519a20ec59dbc2.mp3],Noun,私はパンより<b>ご飯</b>が好きだ。,わたし は ぱん より <b>ごはん</b> が すき だ,I prefer rice to bread.,[sound:b6d3a02654ee66435727737f0f6c9492.mp3],"<img src=""28b89aa81c5a9d79bed9e388a8053fb9.jpg"" />",ご 飯[はん],私[わたし]はパンより<b>ご 飯[はん]</b>が 好[す]きだ。,私[わたし]はパンより<b>（　）</b>が 好[す]きだ。
317,3,120,7,6,53,JLPT4,三つ,みっつ,three (things),[sound:7d9010a2f75543ff90c0713daff65e44.mp3],Noun,コップを<b>三つ</b>買いました。,こっぷ を <b>みっつ</b> かいました,I bought three glasses.,[sound:088e3e74f2324164c0575a99cd3557ff.mp3],"<img src=""e72e8d8f05868c9422d1b6ae897832d5.jpg"" />",三[みっ]つ,コップを<b> 三[みっ]つ</b> 買[か]いました。,コップを<b>（　）</b> 買[か]いました。
214,112,121,144,142,54,JLPT4,昼,ひる,"daytime, midday",[sound:5b1271dd417ec4564722a840e79c90e5.mp3],Noun,私は<b>昼</b>のドラマを毎日見ます。,わたし は <b>ひる</b> の どらま を まいにち みます,I watch daytime dramas every day.,[sound:dbfaccc6bdf91ea6fd491664789adc07.mp3],"<img src=""d3799e60fed96fa8de5ca5c5f57b4d5e.jpg"" />",昼[ひる],私[わたし]は<b> 昼[ひる]</b>のドラマを 毎日見[まいにち み]ます。,私[わたし]は<b>（　）</b>のドラマを 毎日見[まいにち み]ます。
400,120,121,157,156,55,JLPT3,見つかる,みつかる,"be found, be caught",[sound:75596ad21ac821f522b596e2d55f443f.mp3],Verb,メガネが<b>見つかりません</b>。,めがね が <b>みつかりません</b>,I can't find my glasses.,[sound:c7fc6516707a265323d132dde6ce0fb8.mp3],"<img src=""9d06e95ee60b8f3e99375eb8225d441a.jpg"" />",見[み]つかる,メガネが<b> 見[み]つかりません</b>。,メガネが<b>（　）</b>。
1,0,123,1,7,56,JLPT4,それ,それ,"that, that one",[sound:8b0ee07c0864e07d96871e87f158ad96.mp3],Pronoun,<b>それ</b>はとってもいい話だ。,<b>それ</b> は とっても いい はなし だ,That's a really nice story.,[sound:c951babc6302fbe6ee96898170363a6e.mp3],"<img src=""fefcf8b5fc45942801a9a5c4645228a0.jpg"" />",それ,<b>それ</b>はとってもいい 話[はなし]だ。,<b>（　）</b>はとってもいい 話[はなし]だ。
338,71,123,110,109,57,JLPT4,男,おとこ,"man, male",[sound:05afd54bff492d40b1d839494c3b87d9.mp3],Noun,<b>男</b>の人が私たちに話しかけた。,<b>おとこ</b> の ひと が わたしたち に はなしかけた,This guy began talking to us.,[sound:4f466b182e027fa0a7e6006a421c740e.mp3],"<img src=""5939875a9c237a998d5200c747ea621f.jpg"" />",男[おとこ],<b> 男[おとこ]</b>の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。,<b>（　）</b>の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。
